batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason	working_queue_triage_reason
118	gpm_stl.csv	84307977	ME N' MY GUITAR	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Kris Bradley	Cowboy Country	0:03:21	117.0	Cont Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
119	gpm_stl.csv	84322838	PAST TENNESSEE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Simon Webb	Trad RICH n’ ALL	0:03:29	151.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
140	gpm_stl.csv	88276317	HEARTS ♥️ LIKE MINE - INSTRO Eminor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Scherer Delight	0:03:15	140.0	Indie Pop	YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
141	gpm_stl.csv	88304258	DECK THE HALLS - Christmas COVER - Dark	DECK THE HALLS - Christmas COVER - Dark	Cindy Youngren	Christmas	0:03:38	158.0	Dark	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
170	gpm_stl.csv	96021185	HAZY CRAZY	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Coming Through	0:02:43	134.0	Singer/Songwriter	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
174	gpm_stl.csv	99479227	MY EYES TELL IT ALL	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Sandy Sugar Smith	Turnin' Blue	0:04:50	161.0	Alt Blues	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
175	gpm_stl.csv	99482985	NO ONE'S HARD TO HOLD ONTO - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amy Howard	Dealin’ Feelin'	0:03:42	149.0	Folk	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER;VERSION_SUFFIX_REVIEW
190	gpm_stl.csv	100391228	EVEN IF I TRIED - F	EVEN IF I TRIED - F	Rhonda Lester	Coming Through	0:02:54	76.0	Indie, FOLK, Country	YES		BATCH_CLEAN_PENDING_REVIEW		VERSION_SUFFIX_REVIEW
205	gpm_stl.csv	104548959	I LIVE FREE - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Coming Through	0:02:31	130.0	Pop	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
223	gpm_stl.csv	106875238	THE ONLY FOREVER	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Lloyd G Miller	Lloyd’s Void	0:04:06	75.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
235	gpm_stl.csv	110595129	NOW-THAT'S TOUGH	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Zach Linley	Change Me	0:03:27	84.0	Banjo, Folk, Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
258	gpm_stl.csv	120387403	COME AS YOU ARE - COVER - INSTRO	COME AS YOU ARE - COVER - INSTRO	G Putnam Music	COVER	0:03:01	90.0	Sync Pop, BGVS, MMMMM	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	COVER_RIGHTS_SOURCE_REVIEW
